,company_name,job_title,level,location,salary_max,salary_min,tags
15,"30 SecondsToFly Co., Ltd.",Junior Node Developer,"Entry-Level, Full time", - พระโขนง กรุงเทพมหานคร,55000,33000,"#microservices,#nodejs,#postgresql,#redis,#unittest"
16,Niceloop,Frontend Developer,"Entry-Level, Full time", - ห้วยขวาง กรุงเทพมหานคร,35000,20000,"#android,#aws,#javascript,#nodejs,#reactjs"
17,ConvoLab,Sales Executives / Account Manager,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,70000,35000,"#business,#businessdevelopment,#marketing,#sales"
18,ConvoLab,QA Engineer,"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,38000,24000,"#javascript,#puppeteer,#selenium,#testscript"
19,"Leoxia Co., Ltd.",Web Developer,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,50000,25000,"#asp.net,#c++,#c-sharp,#javascript,#typescript"
20,T2P Company Limited,Senior Mobile Developer (iOS),"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,40000,"#ios,#mvvm,#objective-c,#swift,#tdd"
21,T2P Company Limited,Senior Mobile Developer (Android),"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,40000,"#android,#java,#kotlin,#mvvm,#tdd"
22,T2P Company Limited,Senior / Middle Quality Assurance,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,50000,30000,"#automate,#jenkins,#manual,#test-case,#tester"
23,T2P Company Limited,Senior / Middle Developer,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,80000,30000,"#golang,#php,#tdd"
24,T2P Company Limited,Sale Executive,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,40000,20000,"#business,#collaboration,#presentation,#sales"
25,Onedaycat,UX Designer (Mobile app และ Web),"Middle-Level, Full time", - พระโขนง กรุงเทพมหานคร,80000,50000,"#affinity,#designer,#illustrator,#photoshop,#sketch"
26,Onedaycat,Frontend Developer (Vue),"Middle-Level, Full time", - พระโขนง กรุงเทพมหานคร,70000,30000,"#html,#html5,#javascript,#nodejs,#vuejs"
27,Onedaycat,Backend developer (Golang),"Middle-Level, Full time", - พระโขนง กรุงเทพมหานคร,70000,30000,"#ci-cd,#docker,#golang,#kubernetes,#nodejs"
28,T2P Company Limited,Project Manager,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,60000,40000,"#communication,#problem-solving,#project-management"
29,T2P Company Limited,Business Development Specialist,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,50000,"#collaboration,#communication,#leadership,#problem-solving,#project-management"
30,Taamkru Ltd.,Software Engineer,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,40000,24000,"#javascript,#mysql,#python,#react,#react-native"
31,Tourkrub,Front-End Developer (Urgent!!!!),"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,20000,"#github,#javascript,#nodejs,#react-native,#ruby-on-rails"
32,T2P Company Limited,Application Support,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,30000,25000,"#crm,#pos"
33,"LTMAN Co.,Ltd.",Software Engineer - Native Mobile Developer,"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,75000,25000,"#developer,#software-development"
34,"Qapstone Consulting Group Recruitment Co., Ltd.",PHP Developer,"Middle-Level, Full time", - ห้วยขวาง กรุงเทพมหานคร,60000,40000,
35,"Qapstone Consulting Group Recruitment Co., Ltd.",iOS / Android Developer upto 80k,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,80000,35000,
36,"Qapstone Consulting Group Recruitment Co., Ltd.",Application support,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,30000,25000,
37,ConvoLab,NodeJS Developer,"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,48000,28000,"#devops,#javascript,#kubernetes,#nodejs,#typescript"
38,ConvoLab,Frontend Developer,"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,48000,25000,"#javascript,#nodejs,#react,#reactjs,#typescript"
39,"Electronics Extreme Co.,Ltd",Unity Developer,"Entry-Level, Full time", - เมืองนนทบุรี นนทบุรี,55000,25000,
40,"Electronics Extreme Co.,Ltd",Senior Database Administrator,"Entry-Level, Full time", - เมืองนนทบุรี นนทบุรี,50000,25000,
41,"Electronics Extreme Co.,Ltd",Senior Web Developer,"Entry-Level, Full time", - เมืองนนทบุรี นนทบุรี,55000,25000,#php
42,Panyatara Company Limited,Digital Learning Developer,"Middle-Level, Full time", - ปากเกร็ด นนทบุรี,30000,18000,
43,"Donuts Bangkok Co., Ltd.",Front-End / Back-End Developer,"Entry-Level, Full time", - ห้วยขวาง กรุงเทพมหานคร,50000,25000,"#database-development,#databasedesign,#golang,#ruby-on-rails,#server"
44,"Donuts Bangkok Co., Ltd.",Full-Stack Developer,"Entry-Level, Full time", - ห้วยขวาง กรุงเทพมหานคร,50000,25000,"#aws,#git,#laravel,#php,#rubu"
45,Getlinks (On behalf of our partners),Sr. Software Engineer-Front-end/Full Stack,"Senior-Level, Full time", - บางพลัด กรุงเทพมหานคร,100000,60000,"#css,#html,#javascript,#react,#restful"
